import time: self [us] | cumulative | imported package
import time:       367 |        367 |                                       numpy.f2py.common_rules
import time:       376 |        376 |                                       numpy.f2py.use_rules
import time:      2815 |       3557 |                                     numpy.f2py.rules
import time:       477 |      34010 |                                   numpy.f2py.f2py2e
import time:       484 |      35052 |                                 numpy.f2py
import time:       472 |        472 |                                 numpy.rec
import time:       382 |        382 |                                     numpy.polynomial.polyutils
import time:       506 |        506 |                                     numpy.polynomial._polybase
import time:       640 |       1527 |                                   numpy.polynomial.chebyshev
import time:       478 |        478 |                                   numpy.polynomial.hermite
import time:       408 |        408 |                                   numpy.polynomial.hermite_e
import time:       423 |        423 |                                   numpy.polynomial.laguerre
import time:       433 |        433 |                                   numpy.polynomial.legendre
import time:       526 |        526 |                                   numpy.polynomial.polynomial
import time:       553 |       4345 |                                 numpy.polynomial
import time:       397 |        397 |                                   numpy.fft._helper
import time:     10331 |      10331 |                                     numpy.fft._pocketfft_umath
import time:       451 |      10781 |                                   numpy.fft._pocketfft
import time:       459 |      11636 |                                 numpy.fft
import time:       550 |        550 |                                     numpy._core.strings
import time:       372 |        372 |                                     numpy.strings
import time:       600 |       1521 |                                   numpy._core.defchararray
import time:       507 |       2027 |                                 numpy.char
import time:       456 |        456 |                                   numpy.core._utils
import time:       427 |        883 |                                 numpy.core
import time:       662 |        662 |                                   numpy.ctypeslib._ctypeslib
import time:       362 |       1024 |                                 numpy.ctypeslib
import time:     11761 |      11761 |                                       numpy.random._common
import time:       672 |        672 |                                         base64
import time:      3243 |       3243 |                                           _hashlib
import time:        67 |         67 |                                           _hmac
import time:       503 |       3812 |                                         hmac
import time:       655 |       5138 |                                       secrets
import time:     10638 |      27536 |                                     numpy.random.bit_generator
import time:     10195 |      37730 |                                   numpy.random._bounded_integers
import time:     11751 |      11751 |                                       numpy.random._pcg64
import time:     12576 |      24326 |                                     numpy.random._generator
import time:     11212 |      11212 |                                     numpy.random._mt19937
import time:     10170 |      10170 |                                     numpy.random._philox
import time:     10350 |      10350 |                                     numpy.random._sfc64
import time:     11411 |      11411 |                                     numpy.random.mtrand
import time:       612 |      68078 |                                   numpy.random._pickle
import time:       540 |     106347 |                                 numpy.random
import time:      1003 |       1003 |                                   scipy._external.array_api_compat.common._aliases
import time:       569 |        569 |                                   scipy._external.array_api_compat.numpy._typing
import time:      1427 |       2998 |                                 scipy._external.array_api_compat.numpy._aliases
import time:       497 |        497 |                                 scipy._external.array_api_compat.numpy._info
import time:       804 |        804 |                                   scipy._external.array_api_compat.common._linalg
import time:       754 |       1557 |                                 scipy._external.array_api_compat.numpy.linalg
import time:       367 |        367 |                                   scipy._external.array_api_compat.common._fft
import time:       747 |       1114 |                                 scipy._external.array_api_compat.numpy.fft
import time:       977 |     290833 |                               scipy._external.array_api_compat.numpy
import time:       437 |        437 |                                     scipy._external.array_api_extra._lib
import time:       337 |        337 |                                         scipy._external.array_api_extra._lib._utils
import time:       410 |        410 |                                             scipy._lib._array_api_override
import time:       365 |        774 |                                           scipy._external._array_api_compat_vendor
import time:       418 |       1191 |                                         scipy._external.array_api_extra._lib._utils._compat
import time:       344 |        344 |                                           scipy._external.array_api_extra._lib._utils._typing
import time:       545 |        889 |                                         scipy._external.array_api_extra._lib._utils._helpers
import time:       557 |       2973 |                                       scipy._external.array_api_extra._lib._at
import time:       572 |       3545 |                                     scipy._external.array_api_extra._lib._funcs
import time:       608 |       4589 |                                   scipy._external.array_api_extra._delegation
import time:       467 |        467 |                                   scipy._external.array_api_extra._lib._lazy
import time:       425 |       5480 |                                 scipy._external.array_api_extra
import time:       460 |       5939 |                               scipy._external.array_api_extra.testing
import time:       818 |        818 |                                   pkgutil
import time:       525 |        525 |                                     urllib
import time:       992 |        992 |                                     ipaddress
import time:       936 |       2453 |                                   urllib.parse
import time:      4357 |       4357 |                                     _pyrepl
import time:      5591 |       9948 |                                   _pyrepl.pager
import time:     20289 |      33506 |                                 pydoc
import time:      1361 |      34867 |                               scipy._lib._docscrape
import time:      1191 |     336475 |                             scipy._lib._array_api
import time:       692 |     337167 |                           scipy._lib._util
import time:       571 |        571 |                           scipy.sparse._data
import time:       776 |        776 |                           scipy.sparse._index
import time:       957 |     339470 |                         scipy.sparse._compressed
import time:       739 |     516299 |                       scipy.sparse._csr
import time:       533 |        533 |                       scipy.sparse._csc
import time:     64072 |      64072 |                         scipy.sparse._csparsetools
import time:       573 |      64644 |                       scipy.sparse._lil
import time:       774 |        774 |                       scipy.sparse._dok
import time:       766 |        766 |                       scipy.sparse._coo
import time:       532 |        532 |                       scipy.sparse._dia
import time:       533 |        533 |                       scipy.sparse._bsr
import time:       423 |        423 |                         scipy._lib.deprecation
import time:      1337 |       1760 |                       scipy.sparse._construct
import time:       386 |        386 |                       scipy.sparse._extract
import time:       387 |        387 |                       scipy.sparse._matrix_io
import time:       318 |        318 |                       scipy.sparse.base
import time:       303 |        303 |                       scipy.sparse.bsr
import time:       261 |        261 |                       scipy.sparse.compressed
import time:       315 |        315 |                       scipy.sparse.construct
import time:       307 |        307 |                       scipy.sparse.coo
import time:       297 |        297 |                       scipy.sparse.csc
import time:       295 |        295 |                       scipy.sparse.csr
import time:       292 |        292 |                       scipy.sparse.data
import time:       297 |        297 |                       scipy.sparse.dia
import time:       300 |        300 |                       scipy.sparse.dok
import time:       307 |        307 |                       scipy.sparse.extract
import time:       271 |        271 |                       scipy.sparse.lil
import time:       318 |        318 |                       scipy.sparse.sparsetools
import time:       320 |        320 |                       scipy.sparse.sputils
import time:       878 |     924078 |                     scipy.sparse
import time:      1962 |       1962 |                             _multiprocessing
import time:       505 |        505 |                                 multiprocessing.process
import time:       500 |        500 |                                 multiprocessing.reduction
